Date,State,TotalSamples,Negative,Positive
4/17/2020,Andaman and Nicobar Islands,1403,1210,12
4/24/2020,Andaman and Nicobar Islands,2679,,27
4/27/2020,Andaman and Nicobar Islands,2848,,33
5/1/2020,Andaman and Nicobar Islands,3754,,33
5/16/2020,Andaman and Nicobar Islands,6677,,33
5/19/2020,Andaman and Nicobar Islands,6965,,33
5/20/2020,Andaman and Nicobar Islands,7082,,33
5/21/2020,Andaman and Nicobar Islands,7167,,33
5/22/2020,Andaman and Nicobar Islands,7263,,33
5/23/2020,Andaman and Nicobar Islands,7327,,33
5/24/2020,Andaman and Nicobar Islands,7327,,33
5/25/2020,Andaman and Nicobar Islands,7363,,33
5/26/2020,Andaman and Nicobar Islands,7448,,33
5/27/2020,Andaman and Nicobar Islands,7499,,33
5/28/2020,Andaman and Nicobar Islands,7519,,33
5/29/2020,Andaman and Nicobar Islands,7567,,33
5/30/2020,Andaman and Nicobar Islands,7567,,33
5/31/2020,Andaman and Nicobar Islands,7706,,33
6/1/2020,Andaman and Nicobar Islands,7805,,33
6/2/2020,Andaman and Nicobar Islands,8086,,33
6/3/2020,Andaman and Nicobar Islands,8295,,33
6/4/2020,Andaman and Nicobar Islands,8413,,33
6/5/2020,Andaman and Nicobar Islands,8694,,33
6/6/2020,Andaman and Nicobar Islands,9037,,33
6/7/2020,Andaman and Nicobar Islands,9242,,33
6/8/2020,Andaman and Nicobar Islands,9341,,33
6/9/2020,Andaman and Nicobar Islands,9859,,33
6/10/2020,Andaman and Nicobar Islands,10010,,35
6/11/2020,Andaman and Nicobar Islands,10226,,38
6/12/2020,Andaman and Nicobar Islands,10697,,38
6/13/2020,Andaman and Nicobar Islands,10955,,38
6/14/2020,Andaman and Nicobar Islands,11356,,38
6/15/2020,Andaman and Nicobar Islands,11518,,41
6/16/2020,Andaman and Nicobar Islands,11809,,44
6/17/2020,Andaman and Nicobar Islands,12239,,44
6/18/2020,Andaman and Nicobar Islands,12622,,45
6/19/2020,Andaman and Nicobar Islands,12930,,47
6/20/2020,Andaman and Nicobar Islands,13320,,47
6/21/2020,Andaman and Nicobar Islands,13434,,48
6/22/2020,Andaman and Nicobar Islands,13511,,48
6/23/2020,Andaman and Nicobar Islands,13723,,50
6/24/2020,Andaman and Nicobar Islands,13994,,56
6/25/2020,Andaman and Nicobar Islands,14277,,59
6/26/2020,Andaman and Nicobar Islands,14583,,72
6/27/2020,Andaman and Nicobar Islands,14851,,73
6/28/2020,Andaman and Nicobar Islands,15094,,83
6/29/2020,Andaman and Nicobar Islands,15410,,90
6/30/2020,Andaman and Nicobar Islands,15709,,97
7/1/2020,Andaman and Nicobar Islands,15982,,100
7/2/2020,Andaman and Nicobar Islands,16278,,109
7/3/2020,Andaman and Nicobar Islands,16626,,116
7/4/2020,Andaman and Nicobar Islands,16832,,119
7/5/2020,Andaman and Nicobar Islands,16909,,125
7/6/2020,Andaman and Nicobar Islands,17095,,141
7/7/2020,Andaman and Nicobar Islands,17381,,147
7/8/2020,Andaman and Nicobar Islands,17643,,149
7/9/2020,Andaman and Nicobar Islands,17852,,151
7/10/2020,Andaman and Nicobar Islands,18046,,156
7/11/2020,Andaman and Nicobar Islands,18315,,163
7/12/2020,Andaman and Nicobar Islands,18447,,163
7/13/2020,Andaman and Nicobar Islands,18609,,166
7/14/2020,Andaman and Nicobar Islands,18884,,171
7/15/2020,Andaman and Nicobar Islands,19061,,176
7/16/2020,Andaman and Nicobar Islands,19227,,180
7/17/2020,Andaman and Nicobar Islands,19421,,194
7/18/2020,Andaman and Nicobar Islands,19671,,198
7/19/2020,Andaman and Nicobar Islands,19904,,203
7/20/2020,Andaman and Nicobar Islands,20301,,207
7/21/2020,Andaman and Nicobar Islands,20642,,212
7/22/2020,Andaman and Nicobar Islands,21043,,221
7/23/2020,Andaman and Nicobar Islands,21310,,240
7/24/2020,Andaman and Nicobar Islands,21743,,259
7/25/2020,Andaman and Nicobar Islands,21965,,290
7/26/2020,Andaman and Nicobar Islands,22049,,324
7/27/2020,Andaman and Nicobar Islands,22548,,338
7/28/2020,Andaman and Nicobar Islands,22925,,363
7/29/2020,Andaman and Nicobar Islands,23217,,428
7/30/2020,Andaman and Nicobar Islands,23615,,471
7/31/2020,Andaman and Nicobar Islands,24038,,548
8/1/2020,Andaman and Nicobar Islands,24308,,636
8/2/2020,Andaman and Nicobar Islands,24580,,734
8/3/2020,Andaman and Nicobar Islands,25034,,830
8/4/2020,Andaman and Nicobar Islands,25492,,928
8/5/2020,Andaman and Nicobar Islands,25826,,1027
8/6/2020,Andaman and Nicobar Islands,26516,,1123
8/7/2020,Andaman and Nicobar Islands,26915,,1222
8/8/2020,Andaman and Nicobar Islands,27073,,1351
8/9/2020,Andaman and Nicobar Islands,27103,,1490
8/10/2020,Andaman and Nicobar Islands,27346,,1625
8/11/2020,Andaman and Nicobar Islands,27455,,1764
8/12/2020,Andaman and Nicobar Islands,27744,,1900
8/13/2020,Andaman and Nicobar Islands,27973,,2037
8/14/2020,Andaman and Nicobar Islands,28129,,2186
8/15/2020,Andaman and Nicobar Islands,28209,,2306
8/16/2020,Andaman and Nicobar Islands,28229,,2399
8/17/2020,Andaman and Nicobar Islands,28672,,2445
8/18/2020,Andaman and Nicobar Islands,28937,,2529
8/19/2020,Andaman and Nicobar Islands,29303,,2604
8/20/2020,Andaman and Nicobar Islands,29487,,2680
8/21/2020,Andaman and Nicobar Islands,29573,,2747
8/22/2020,Andaman and Nicobar Islands,29888,,2808
8/23/2020,Andaman and Nicobar Islands,30278,,2860
8/24/2020,Andaman and Nicobar Islands,30513,,2904
8/25/2020,Andaman and Nicobar Islands,31082,,2945
8/26/2020,Andaman and Nicobar Islands,31646,,2985
8/27/2020,Andaman and Nicobar Islands,31830,,3018
8/28/2020,Andaman and Nicobar Islands,32100,,3050
8/29/2020,Andaman and Nicobar Islands,32407,,3081
8/30/2020,Andaman and Nicobar Islands,32674,,3104
8/31/2020,Andaman and Nicobar Islands,33485,,3132
9/1/2020,Andaman and Nicobar Islands,35104,,3160
9/2/2020,Andaman and Nicobar Islands,36136,,
9/3/2020,Andaman and Nicobar Islands,37075,,3223
9/4/2020,Andaman and Nicobar Islands,37825,,3257
9/5/2020,Andaman and Nicobar Islands,38574,,3292
9/6/2020,Andaman and Nicobar Islands,39205,,3332
9/7/2020,Andaman and Nicobar Islands,39995,,3359
9/8/2020,Andaman and Nicobar Islands,41039,,3392
9/9/2020,Andaman and Nicobar Islands,41776,,3426
9/10/2020,Andaman and Nicobar Islands,42792,,3465
9/11/2020,Andaman and Nicobar Islands,43680,,3494
9/12/2020,Andaman and Nicobar Islands,44570,,3521
9/13/2020,Andaman and Nicobar Islands,45279,,3546
9/14/2020,Andaman and Nicobar Islands,45987,,3557
9/15/2020,Andaman and Nicobar Islands,46823,,3574
9/16/2020,Andaman and Nicobar Islands,47794,,3593
9/17/2020,Andaman and Nicobar Islands,48861,,3604
9/18/2020,Andaman and Nicobar Islands,50035,,3631
9/19/2020,Andaman and Nicobar Islands,50681,,3644
9/20/2020,Andaman and Nicobar Islands,51262,,3651
9/21/2020,Andaman and Nicobar Islands,52220,,3673
9/22/2020,Andaman and Nicobar Islands,52845,,3691
9/23/2020,Andaman and Nicobar Islands,53591,,3712
9/24/2020,Andaman and Nicobar Islands,52992,,3744
9/25/2020,Andaman and Nicobar Islands,55169,,3759
9/26/2020,Andaman and Nicobar Islands,56059,,3774
9/27/2020,Andaman and Nicobar Islands,56661,,3794
9/28/2020,Andaman and Nicobar Islands,57343,,3803
9/29/2020,Andaman and Nicobar Islands,58135,,3821
9/30/2020,Andaman and Nicobar Islands,58763,,3835
10/1/2020,Andaman and Nicobar Islands,59676,,3848
10/2/2020,Andaman and Nicobar Islands,60437,,3858
10/3/2020,Andaman and Nicobar Islands,61231,,3868
10/4/2020,Andaman and Nicobar Islands,62103,,3884
10/5/2020,Andaman and Nicobar Islands,63009,,3899
10/6/2020,Andaman and Nicobar Islands,63790,,3912
10/7/2020,Andaman and Nicobar Islands,65111,,3935
10/8/2020,Andaman and Nicobar Islands,66244,,3952
10/9/2020,Andaman and Nicobar Islands,67332,,3976
10/10/2020,Andaman and Nicobar Islands,68464,,3992
10/11/2020,Andaman and Nicobar Islands,69146,,4005
10/12/2020,Andaman and Nicobar Islands,69932,,4023
10/13/2020,Andaman and Nicobar Islands,70780,,4036
10/14/2020,Andaman and Nicobar Islands,71624,,4046
10/15/2020,Andaman and Nicobar Islands,72525,,4062
10/16/2020,Andaman and Nicobar Islands,73363,,4072
10/17/2020,Andaman and Nicobar Islands,74277,,4083
10/18/2020,Andaman and Nicobar Islands,75030,,4108
10/19/2020,Andaman and Nicobar Islands,75977,,4126
10/20/2020,Andaman and Nicobar Islands,77200,,4141
10/21/2020,Andaman and Nicobar Islands,78303,,4168
10/22/2020,Andaman and Nicobar Islands,79301,,4184
10/23/2020,Andaman and Nicobar Islands,80768,,4207
10/24/2020,Andaman and Nicobar Islands,81880,,4225
10/25/2020,Andaman and Nicobar Islands,82626,,4245
10/26/2020,Andaman and Nicobar Islands,83115,,4253
10/27/2020,Andaman and Nicobar Islands,84308,,4274
10/28/2020,Andaman and Nicobar Islands,85378,,4289
10/29/2020,Andaman and Nicobar Islands,86715,,4305
10/30/2020,Andaman and Nicobar Islands,87789,,4317
10/31/2020,Andaman and Nicobar Islands,88453,,4332
11/1/2020,Andaman and Nicobar Islands,89559,,4340
11/2/2020,Andaman and Nicobar Islands,90901,,4352
11/3/2020,Andaman and Nicobar Islands,92249,,4372
11/4/2020,Andaman and Nicobar Islands,93406,,4389
11/5/2020,Andaman and Nicobar Islands,94639,,4403
11/6/2020,Andaman and Nicobar Islands,96214,,4420
11/7/2020,Andaman and Nicobar Islands,97603,,4441
11/8/2020,Andaman and Nicobar Islands,98812,,4450
11/9/2020,Andaman and Nicobar Islands,100025,,4463
11/10/2020,Andaman and Nicobar Islands,101226,,4477
11/11/2020,Andaman and Nicobar Islands,102433,,4494
11/12/2020,Andaman and Nicobar Islands,103599,,4507
11/13/2020,Andaman and Nicobar Islands,104785,,4518
11/14/2020,Andaman and Nicobar Islands,105699,,4527
11/15/2020,Andaman and Nicobar Islands,106734,,4536
11/16/2020,Andaman and Nicobar Islands,108080,,4557
11/17/2020,Andaman and Nicobar Islands,109646,,4574
11/18/2020,Andaman and Nicobar Islands,111166,,4593
11/19/2020,Andaman and Nicobar Islands,112792,,4604
11/20/2020,Andaman and Nicobar Islands,114392,,4617
11/21/2020,Andaman and Nicobar Islands,115968,,4631
11/22/2020,Andaman and Nicobar Islands,117093,,4641
11/23/2020,Andaman and Nicobar Islands,118654,,4656
11/24/2020,Andaman and Nicobar Islands,120324,,4667
11/25/2020,Andaman and Nicobar Islands,121931,,4677
11/26/2020,Andaman and Nicobar Islands,123165,,4682
11/27/2020,Andaman and Nicobar Islands,124832,,4689
11/28/2020,Andaman and Nicobar Islands,126331,,4698
11/29/2020,Andaman and Nicobar Islands,127912,,4704
11/30/2020,Andaman and Nicobar Islands,129389,,4710
12/1/2020,Andaman and Nicobar Islands,131080,,4718
12/2/2020,Andaman and Nicobar Islands,132784,,4723
12/3/2020,Andaman and Nicobar Islands,134355,,4729
12/4/2020,Andaman and Nicobar Islands,135952,,4742
12/5/2020,Andaman and Nicobar Islands,137648,,4747
12/6/2020,Andaman and Nicobar Islands,139326,,4758
12/7/2020,Andaman and Nicobar Islands,140961,,4773
12/8/2020,Andaman and Nicobar Islands,142667,,4778
12/9/2020,Andaman and Nicobar Islands,144401,,4783
12/10/2020,Andaman and Nicobar Islands,146143,,4791
12/11/2020,Andaman and Nicobar Islands,147806,,4798
12/12/2020,Andaman and Nicobar Islands,149926,,4805
12/13/2020,Andaman and Nicobar Islands,152004,,4818
12/14/2020,Andaman and Nicobar Islands,153685,,4834
12/15/2020,Andaman and Nicobar Islands,155454,,4842
12/16/2020,Andaman and Nicobar Islands,157242,,4850
12/17/2020,Andaman and Nicobar Islands,159027,,4860
12/18/2020,Andaman and Nicobar Islands,160856,,4869
12/19/2020,Andaman and Nicobar Islands,162821,,4875
12/20/2020,Andaman and Nicobar Islands,165024,,4881
12/21/2020,Andaman and Nicobar Islands,166845,,4888
12/22/2020,Andaman and Nicobar Islands,168769,,4893
12/23/2020,Andaman and Nicobar Islands,170666,,4896
12/24/2020,Andaman and Nicobar Islands,172756,,4901
12/25/2020,Andaman and Nicobar Islands,174482,,4912
12/26/2020,Andaman and Nicobar Islands,175578,,4912
12/27/2020,Andaman and Nicobar Islands,176898,,4924
12/28/2020,Andaman and Nicobar Islands,177926,,4929
12/29/2020,Andaman and Nicobar Islands,179444,,4936
12/30/2020,Andaman and Nicobar Islands,180626,,4941
12/31/2020,Andaman and Nicobar Islands,181640,,4945
1/1/2021,Andaman and Nicobar Islands,182631,,4946
1/2/2021,Andaman and Nicobar Islands,183725,,4947
1/3/2021,Andaman and Nicobar Islands,184955,,4948
1/4/2021,Andaman and Nicobar Islands,186140,,4948
1/5/2021,Andaman and Nicobar Islands,187115,,4949
1/6/2021,Andaman and Nicobar Islands,188351,,4949
1/7/2021,Andaman and Nicobar Islands,190031,,4958
1/8/2021,Andaman and Nicobar Islands,191206,,4959
1/9/2021,Andaman and Nicobar Islands,192560,,4959
1/10/2021,Andaman and Nicobar Islands,193719,,4960
1/11/2021,Andaman and Nicobar Islands,195351,,4963
1/12/2021,Andaman and Nicobar Islands,196859,,4966
1/13/2021,Andaman and Nicobar Islands,198478,,4969
1/14/2021,Andaman and Nicobar Islands,199805,,4976
1/15/2021,Andaman and Nicobar Islands,200953,,4979
1/16/2021,Andaman and Nicobar Islands,202521,,4982
1/17/2021,Andaman and Nicobar Islands,203741,,4983
1/18/2021,Andaman and Nicobar Islands,205411,,4988
1/19/2021,Andaman and Nicobar Islands,206732,,4989
1/20/2021,Andaman and Nicobar Islands,208179,,4991
1/21/2021,Andaman and Nicobar Islands,209437,,4991
1/22/2021,Andaman and Nicobar Islands,210762,,4992
1/23/2021,Andaman and Nicobar Islands,212393,,4993
1/24/2021,Andaman and Nicobar Islands,213467,,4993
1/25/2021,Andaman and Nicobar Islands,214915,,4994
1/26/2021,Andaman and Nicobar Islands,215858,,4994
1/27/2021,Andaman and Nicobar Islands,217007,,4994
1/28/2021,Andaman and Nicobar Islands,218629,,4994
1/29/2021,Andaman and Nicobar Islands,220484,,4994
1/30/2021,Andaman and Nicobar Islands,221876,,4994
1/31/2021,Andaman and Nicobar Islands,223137,,4994
2/1/2021,Andaman and Nicobar Islands,224852,,4994
2/2/2021,Andaman and Nicobar Islands,226584,,4994
2/3/2021,Andaman and Nicobar Islands,228290,,4994
2/4/2021,Andaman and Nicobar Islands,230133,,4994
2/5/2021,Andaman and Nicobar Islands,231633,,4997
2/6/2021,Andaman and Nicobar Islands,233597,,5000
2/7/2021,Andaman and Nicobar Islands,235072,,5001
2/8/2021,Andaman and Nicobar Islands,236643,,5005
2/9/2021,Andaman and Nicobar Islands,238339,,5007
2/10/2021,Andaman and Nicobar Islands,240362,,5007
2/11/2021,Andaman and Nicobar Islands,241833,,5007
2/12/2021,Andaman and Nicobar Islands,243631,,5007
2/13/2021,Andaman and Nicobar Islands,245745,,5009
2/14/2021,Andaman and Nicobar Islands,247289,,5009
2/15/2021,Andaman and Nicobar Islands,248562,,5009
2/16/2021,Andaman and Nicobar Islands,250037,,5013
2/17/2021,Andaman and Nicobar Islands,251774,,5014
2/18/2021,Andaman and Nicobar Islands,253718,,5014
2/19/2021,Andaman and Nicobar Islands,255675,,5014
2/20/2021,Andaman and Nicobar Islands,257213,,5014
2/21/2021,Andaman and Nicobar Islands,258773,,5014
2/22/2021,Andaman and Nicobar Islands,260324,,5015
2/23/2021,Andaman and Nicobar Islands,261719,,5016
2/24/2021,Andaman and Nicobar Islands,263090,,5016
2/25/2021,Andaman and Nicobar Islands,264369,,5016
2/26/2021,Andaman and Nicobar Islands,265852,,5017
2/27/2021,Andaman and Nicobar Islands,267209,,5018
2/28/2021,Andaman and Nicobar Islands,268499,,5020
3/1/2021,Andaman and Nicobar Islands,269799,,5020
3/2/2021,Andaman and Nicobar Islands,271193,,5020
3/3/2021,Andaman and Nicobar Islands,273010,,5022
3/4/2021,Andaman and Nicobar Islands,274849,,5024
3/5/2021,Andaman and Nicobar Islands,276471,,5024
3/6/2021,Andaman and Nicobar Islands,278437,,5024
3/7/2021,Andaman and Nicobar Islands,280041,,
3/8/2021,Andaman and Nicobar Islands,281955,,5026
3/9/2021,Andaman and Nicobar Islands,283492,,5028
3/10/2021,Andaman and Nicobar Islands,285087,,5028
3/11/2021,Andaman and Nicobar Islands,286505,,5028
3/12/2021,Andaman and Nicobar Islands,288197,,5029
3/13/2021,Andaman and Nicobar Islands,290341,,5030
3/14/2021,Andaman and Nicobar Islands,291842,,5031
3/15/2021,Andaman and Nicobar Islands,294094,,5031
3/16/2021,Andaman and Nicobar Islands,295827,,5032
3/17/2021,Andaman and Nicobar Islands,297433,,5035
3/18/2021,Andaman and Nicobar Islands,299048,,5036
3/19/2021,Andaman and Nicobar Islands,300892,,5038
3/20/2021,Andaman and Nicobar Islands,302566,,5038
3/21/2021,Andaman and Nicobar Islands,304391,,5039
3/22/2021,Andaman and Nicobar Islands,305778,,5039
3/23/2021,Andaman and Nicobar Islands,307255,,5039
3/24/2021,Andaman and Nicobar Islands,308812,,5041
3/25/2021,Andaman and Nicobar Islands,310615,,5042
3/26/2021,Andaman and Nicobar Islands,312378,,5043
3/27/2021,Andaman and Nicobar Islands,314309,,5044
3/28/2021,Andaman and Nicobar Islands,315818,,5046
3/29/2021,Andaman and Nicobar Islands,317137,,5052
3/30/2021,Andaman and Nicobar Islands,318382,,5081
3/31/2021,Andaman and Nicobar Islands,319864,,5083
4/1/2021,Andaman and Nicobar Islands,321456,,5084
4/2/2021,Andaman and Nicobar Islands,323001,,5084
4/3/2021,Andaman and Nicobar Islands,324207,,5098
4/4/2021,Andaman and Nicobar Islands,325826,,5109
4/5/2021,Andaman and Nicobar Islands,327270,,5116
4/6/2021,Andaman and Nicobar Islands,328737,,5123
4/7/2021,Andaman and Nicobar Islands,330481,,5131
4/8/2021,Andaman and Nicobar Islands,332119,,5149
4/9/2021,Andaman and Nicobar Islands,333671,,5161
4/10/2021,Andaman and Nicobar Islands,335784,,5175
4/11/2021,Andaman and Nicobar Islands,337833,,5190
4/12/2021,Andaman and Nicobar Islands,339482,,5201
4/13/2021,Andaman and Nicobar Islands,341557,,5209
4/14/2021,Andaman and Nicobar Islands,343431,,5247
4/15/2021,Andaman and Nicobar Islands,345485,,5262
4/16/2021,Andaman and Nicobar Islands,347489,,5289
4/17/2021,Andaman and Nicobar Islands,349739,,5331
4/18/2021,Andaman and Nicobar Islands,352086,,5390
4/19/2021,Andaman and Nicobar Islands,353754,,5421
4/20/2021,Andaman and Nicobar Islands,355507,,5466
4/21/2021,Andaman and Nicobar Islands,357442,,5490
4/22/2021,Andaman and Nicobar Islands,358903,,5527
4/23/2021,Andaman and Nicobar Islands,360595,,5569
4/24/2021,Andaman and Nicobar Islands,361594,,5614
4/25/2021,Andaman and Nicobar Islands,363056,,5665
4/26/2021,Andaman and Nicobar Islands,364735,,5716
4/27/2021,Andaman and Nicobar Islands,366683,,5764
4/28/2021,Andaman and Nicobar Islands,367689,,5816
4/29/2021,Andaman and Nicobar Islands,368945,,5875
4/30/2021,Andaman and Nicobar Islands,370896,,5949
5/1/2021,Andaman and Nicobar Islands,372214,,6046
5/2/2021,Andaman and Nicobar Islands,373007,,6084
5/3/2021,Andaman and Nicobar Islands,373785,,6150
5/4/2021,Andaman and Nicobar Islands,374428,,6181
5/5/2021,Andaman and Nicobar Islands,375095,,6223
5/6/2021,Andaman and Nicobar Islands,375477,,6255
5/7/2021,Andaman and Nicobar Islands,375967,,6311
5/8/2021,Andaman and Nicobar Islands,376536,,6341
5/9/2021,Andaman and Nicobar Islands,376933,,6367
5/10/2021,Andaman and Nicobar Islands,377293,,6398
5/11/2021,Andaman and Nicobar Islands,377516,,6426
5/12/2021,Andaman and Nicobar Islands,378060,,6470
5/13/2021,Andaman and Nicobar Islands,378462,,6510
5/14/2021,Andaman and Nicobar Islands,378887,,6542
5/15/2021,Andaman and Nicobar Islands,379096,,6568
5/16/2021,Andaman and Nicobar Islands,379674,,6603
5/17/2021,Andaman and Nicobar Islands,380102,,6638
5/18/2021,Andaman and Nicobar Islands,380395,,6674
5/19/2021,Andaman and Nicobar Islands,380853,,6709
5/20/2021,Andaman and Nicobar Islands,381349,,6758
5/21/2021,Andaman and Nicobar Islands,382015,,6789
5/22/2021,Andaman and Nicobar Islands,382640,,6820
5/23/2021,Andaman and Nicobar Islands,383265,,6844
5/24/2021,Andaman and Nicobar Islands,383396,,6853
5/25/2021,Andaman and Nicobar Islands,383727,,6878
5/26/2021,Andaman and Nicobar Islands,384188,,6901
5/27/2021,Andaman and Nicobar Islands,384528,,6917
5/28/2021,Andaman and Nicobar Islands,385020,,6936
5/29/2021,Andaman and Nicobar Islands,385564,,6964
5/30/2021,Andaman and Nicobar Islands,385988,,6984
5/31/2021,Andaman and Nicobar Islands,386613,,7005
6/1/2021,Andaman and Nicobar Islands,387348,,7018
6/2/2021,Andaman and Nicobar Islands,387871,,7043
6/3/2021,Andaman and Nicobar Islands,388486,,7070
6/4/2021,Andaman and Nicobar Islands,389152,,7088
6/5/2021,Andaman and Nicobar Islands,389785,,7105
6/6/2021,Andaman and Nicobar Islands,390574,,7119
6/7/2021,Andaman and Nicobar Islands,391273,,7131
6/8/2021,Andaman and Nicobar Islands,392095,,7154
6/9/2021,Andaman and Nicobar Islands,392974,,7168
6/10/2021,Andaman and Nicobar Islands,393692,,7197
6/11/2021,Andaman and Nicobar Islands,394822,,7233
6/12/2021,Andaman and Nicobar Islands,395624,,7243
6/13/2021,Andaman and Nicobar Islands,396534,,7261
6/14/2021,Andaman and Nicobar Islands,397190,,7269
6/15/2021,Andaman and Nicobar Islands,397953,,7280
6/16/2021,Andaman and Nicobar Islands,398852,,7306
6/17/2021,Andaman and Nicobar Islands,399580,,7335
6/18/2021,Andaman and Nicobar Islands,400211,,7363
6/19/2021,Andaman and Nicobar Islands,400997,,7394
6/20/2021,Andaman and Nicobar Islands,401769,,7406
6/21/2021,Andaman and Nicobar Islands,402629,,7415
6/22/2021,Andaman and Nicobar Islands,403616,,7425
6/23/2021,Andaman and Nicobar Islands,404494,,7438
6/24/2021,Andaman and Nicobar Islands,405197,,7440
6/25/2021,Andaman and Nicobar Islands,405887,,7441
6/26/2021,Andaman and Nicobar Islands,406529,,7446
6/27/2021,Andaman and Nicobar Islands,407488,,7455
6/28/2021,Andaman and Nicobar Islands,408220,,7462
6/29/2021,Andaman and Nicobar Islands,409212,,7466
6/30/2021,Andaman and Nicobar Islands,409890,,7467
7/1/2021,Andaman and Nicobar Islands,410741,,7469
7/2/2021,Andaman and Nicobar Islands,411442,,7475
7/3/2021,Andaman and Nicobar Islands,412361,,7478
7/4/2021,Andaman and Nicobar Islands,413316,,7482
7/5/2021,Andaman and Nicobar Islands,414166,,7482
7/6/2021,Andaman and Nicobar Islands,415066,,7487
7/7/2021,Andaman and Nicobar Islands,416065,,7491
7/8/2021,Andaman and Nicobar Islands,416815,,7492
7/9/2021,Andaman and Nicobar Islands,417598,,7492
7/10/2021,Andaman and Nicobar Islands,418550,,7492
7/11/2021,Andaman and Nicobar Islands,419287,,7492
7/12/2021,Andaman and Nicobar Islands,420157,,7493
7/13/2021,Andaman and Nicobar Islands,421108,,7496
7/14/2021,Andaman and Nicobar Islands,421940,,7499
7/15/2021,Andaman and Nicobar Islands,422876,,7501
7/16/2021,Andaman and Nicobar Islands,423910,,7505
7/17/2021,Andaman and Nicobar Islands,425268,,7506
7/18/2021,Andaman and Nicobar Islands,426511,,7510
7/19/2021,Andaman and Nicobar Islands,427711,,7516
7/20/2021,Andaman and Nicobar Islands,428751,,
7/21/2021,Andaman and Nicobar Islands,429739,,
7/22/2021,Andaman and Nicobar Islands,430415,,
7/23/2021,Andaman and Nicobar Islands,431486,,
7/24/2021,Andaman and Nicobar Islands,432627,,
7/25/2021,Andaman and Nicobar Islands,433596,,
7/26/2021,Andaman and Nicobar Islands,434929,,
7/27/2021,Andaman and Nicobar Islands,436240,,
7/28/2021,Andaman and Nicobar Islands,437301,,
7/29/2021,Andaman and Nicobar Islands,438456,,
7/30/2021,Andaman and Nicobar Islands,439639,,
7/31/2021,Andaman and Nicobar Islands,440870,,
8/1/2021,Andaman and Nicobar Islands,442063,,
8/2/2021,Andaman and Nicobar Islands,443192,,
8/3/2021,Andaman and Nicobar Islands,444838,,
8/4/2021,Andaman and Nicobar Islands,445987,,
8/5/2021,Andaman and Nicobar Islands,447339,,
8/6/2021,Andaman and Nicobar Islands,448882,,
8/7/2021,Andaman and Nicobar Islands,450208,,
8/8/2021,Andaman and Nicobar Islands,451415,,
8/9/2021,Andaman and Nicobar Islands,452587,,
4/2/2020,Andhra Pradesh,1800,1175,132
4/10/2020,Andhra Pradesh,6374,6009,365
4/11/2020,Andhra Pradesh,6958,6577,381
4/12/2020,Andhra Pradesh,6958,6553,405
4/13/2020,Andhra Pradesh,8755,8323,432
4/14/2020,Andhra Pradesh,10505,10032,473
4/15/2020,Andhra Pradesh,11613,11088,525
4/16/2020,Andhra Pradesh,20235,19701,534
4/17/2020,Andhra Pradesh,20235,,572
4/18/2020,Andhra Pradesh,21450,20487,603
4/19/2020,Andhra Pradesh,26958,26311,647
4/20/2020,Andhra Pradesh,30733,30011,722
4/21/2020,Andhra Pradesh,35755,34998,757
4/22/2020,Andhra Pradesh,41512,40699,813
4/23/2020,Andhra Pradesh,48032,47139,893
4/24/2020,Andhra Pradesh,54338,53383,955
4/25/2020,Andhra Pradesh,61266,60250,1016
4/26/2020,Andhra Pradesh,68034,66937,1097
4/27/2020,Andhra Pradesh,74551,73374,1177
4/28/2020,Andhra Pradesh,80334,79075,1259
4/29/2020,Andhra Pradesh,88061,86729,1332
4/30/2020,Andhra Pradesh,94558,93155,1403
5/1/2020,Andhra Pradesh,102460,100997,1463
5/2/2020,Andhra Pradesh,108403,106878,1525
5/3/2020,Andhra Pradesh,114937,113354,1583
5/4/2020,Andhra Pradesh,125229,123579,1650
5/5/2020,Andhra Pradesh,133492,131775,1717
5/6/2020,Andhra Pradesh,141274,139497,1777
5/7/2020,Andhra Pradesh,149361,147528,1833
5/8/2020,Andhra Pradesh,156681,154794,1887
5/9/2020,Andhra Pradesh,165069,163139,1930
5/10/2020,Andhra Pradesh,173735,171755,1980
5/11/2020,Andhra Pradesh,181144,179126,2018
5/12/2020,Andhra Pradesh,191874,189823,2051
5/13/2020,Andhra Pradesh,201196,199059,2137
5/14/2020,Andhra Pradesh,210452,208247,2100
5/15/2020,Andhra Pradesh,219490,217183,2157
5/17/2020,Andhra Pradesh,238998,236618,2230
5/18/2020,Andhra Pradesh,248771,246279,2282
5/19/2020,Andhra Pradesh,258450,255961,2339
5/20/2020,Andhra Pradesh,267612,265052,2407
5/21/2020,Andhra Pradesh,275704,273099,2452
5/22/2020,Andhra Pradesh,284119,281452,2514
5/23/2020,Andhra Pradesh,292969,290255,2561
5/24/2020,Andhra Pradesh,304326,301529,2627
5/25/2020,Andhra Pradesh,314566,311680,2671
5/26/2020,Andhra Pradesh,322714,319731,2719
5/27/2020,Andhra Pradesh,332378,329261,2787
5/28/2020,Andhra Pradesh,342236,338991,2841
5/29/2020,Andhra Pradesh,353874,350544,2874
5/30/2020,Andhra Pradesh,363378,359917,2944
5/31/2020,Andhra Pradesh,372748,369177,3045
6/1/2020,Andhra Pradesh,383315,379639,3118
6/2/2020,Andhra Pradesh,395681,391890,3200
6/3/2020,Andhra Pradesh,403747,399776,3279
